X,Y,Z,non_zero_elements
-0.0015,-0.0005,0.0035,94
-0.001,-0.0005,0.0035,100
-0.0005,-0.0005,0.0035,100
0,-0.0005,0.0035,100
0.0005,-0.0005,0.0035,100
0.001,-0.0005,0.0035,100
0.0015,-0.0005,0.0035,94
0.002,-0.0005,0.0035,69
-0.002,0,0.0035,73
-0.0015,0,0.0035,100
-0.001,0,0.0035,100
-0.0005,0,0.0035,100
0,0,0.0035,100
0.0005,0,0.0035,100
0.001,0,0.0035,100
0.0015,0,0.0035,100
0.002,0,0.0035,73
-0.002,0.0005,0.0035,69
-0.0015,0.0005,0.0035,94
-0.001,0.0005,0.0035,100
-0.0005,0.0005,0.0035,100
0,0.0005,0.0035,100
0.0005,0.0005,0.0035,100
0.001,0.0005,0.0035,100
0.0015,0.0005,0.0035,94
0.002,0.0005,0.0035,69
-0.002,0.001,0.0035,59
-0.0015,0.001,0.0035,84
-0.001,0.001,0.0035,100
-0.0005,0.001,0.0035,100
0,0.001,0.0035,100
0.0005,0.001,0.0035,100
0.001,0.001,0.0035,100
0.0015,0.001,0.0035,84
0.002,0.001,0.0035,59
-0.0015,0.0015,0.0035,66
-0.001,0.0015,0.0035,84
-0.0005,0.0015,0.0035,94
0,0.0015,0.0035,100
0.0005,0.0015,0.0035,94
0.001,0.0015,0.0035,84
0.0015,0.0015,0.0035,66
-0.001,0.002,0.0035,59
-0.0005,0.002,0.0035,69
0,0.002,0.0035,73
0.0005,0.002,0.0035,69
0.001,0.002,0.0035,59
-0.001,-0.002,0.004,59
-0.0005,-0.002,0.004,69
0,-0.002,0.004,73
0.0005,-0.002,0.004,69
0.001,-0.002,0.004,59
-0.0015,-0.0015,0.004,66
-0.001,-0.0015,0.004,84
-0.0005,-0.0015,0.004,94
0,-0.0015,0.004,100
0.0005,-0.0015,0.004,94
0.001,-0.0015,0.004,84
0.0015,-0.0015,0.004,66
-0.002,-0.001,0.004,59
-0.0015,-0.001,0.004,84
-0.001,-0.001,0.004,100
-0.0005,-0.001,0.004,100
0,-0.001,0.004,100
0.0005,-0.001,0.004,100
0.001,-0.001,0.004,100
0.0015,-0.001,0.004,84
0.002,-0.001,0.004,59
-0.002,-0.0005,0.004,69
-0.0015,-0.0005,0.004,94
-0.001,-0.0005,0.004,100
-0.0005,-0.0005,0.004,100
0,-0.0005,0.004,100
0.0005,-0.0005,0.004,100
0.001,-0.0005,0.004,100
0.0015,-0.0005,0.004,94
0.002,-0.0005,0.004,69
-0.002,0,0.004,73
-0.0015,0,0.004,100
-0.001,0,0.004,100
-0.0005,0,0.004,100
0,0,0.004,100
0.0005,0,0.004,100
0.001,0,0.004,100
0.0015,0,0.004,100
0.002,0,0.004,73
-0.002,0.0005,0.004,69
-0.0015,0.0005,0.004,94
-0.001,0.0005,0.004,100
-0.0005,0.0005,0.004,100
0,0.0005,0.004,100
0.0005,0.0005,0.004,100
0.001,0.0005,0.004,100
0.0015,0.0005,0.004,94
0.002,0.0005,0.004,69
-0.002,0.001,0.004,59
-0.0015,0.001,0.004,84
-0.001,0.001,0.004,100
-0.0005,0.001,0.004,100
0,0.001,0.004,100
0.0005,0.001,0.004,100
0.001,0.001,0.004,100
0.0015,0.001,0.004,84
0.002,0.001,0.004,59
-0.0015,0.0015,0.004,66
-0.001,0.0015,0.004,84
-0.0005,0.0015,0.004,94
0,0.0015,0.004,100
0.0005,0.0015,0.004,94
0.001,0.0015,0.004,84
0.0015,0.0015,0.004,66
